"STATION","NAME","DATE","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00024175","SALT LAKE CITY, UT US","1940-05-12","0.01","0.0",,"79","59"
"USW00024175","SALT LAKE CITY, UT US","1940-05-13","0.00","0.0",,"72","52"
"USW00024175","SALT LAKE CITY, UT US","1940-05-14","0.00","0.0",,"84","47"
"USW00024175","SALT LAKE CITY, UT US","1940-05-15","0.00","0.0",,"82","57"
"USW00024175","SALT LAKE CITY, UT US","1940-05-16","0.00","0.0",,"76","57"
"USW00024175","SALT LAKE CITY, UT US","1940-05-17","0.00","0.0",,"73","50"
"USW00024175","SALT LAKE CITY, UT US","1940-05-18","0.00","0.0",,"74","52"
"USW00024175","SALT LAKE CITY, UT US","1940-05-19","0.00","0.0",,"78","48"
"USW00024175","SALT LAKE CITY, UT US","1940-05-20","0.00","0.0",,"78","58"
"USW00024175","SALT LAKE CITY, UT US","1940-05-21","0.00","0.0",,"76","56"
"USW00024175","SALT LAKE CITY, UT US","1940-05-22","0.00","0.0",,"78","61"
"USW00024175","SALT LAKE CITY, UT US","1940-05-23","0.00","0.0",,"82","52"
"USW00024175","SALT LAKE CITY, UT US","1940-05-24","0.00","0.0",,"85","53"
"USW00024175","SALT LAKE CITY, UT US","1940-05-25","0.00","0.0",,"88","55"
"USW00024175","SALT LAKE CITY, UT US","1940-05-26","0.00","0.0",,"74","58"
"USW00024175","SALT LAKE CITY, UT US","1940-05-27","0.00","0.0",,"75","55"
"USW00024175","SALT LAKE CITY, UT US","1940-05-28","0.00","0.0",,"83","55"
"USW00024175","SALT LAKE CITY, UT US","1940-05-29","0.00","0.0",,"82","59"
"USW00024175","SALT LAKE CITY, UT US","1940-05-30","0.00","0.0",,"85","60"
"USW00024175","SALT LAKE CITY, UT US","1940-05-31","0.00","0.0",,"88","66"
"USW00024175","SALT LAKE CITY, UT US","1940-06-01","0.00","0.0",,"89","64"
"USW00024175","SALT LAKE CITY, UT US","1940-06-02","0.00","0.0",,"77","56"
"USW00024175","SALT LAKE CITY, UT US","1940-06-03","0.01","0.0",,"72","53"
"USW00024175","SALT LAKE CITY, UT US","1940-06-04","0.02","0.0",,"83","53"
"USW00024175","SALT LAKE CITY, UT US","1940-06-05","0.12","0.0",,"66","51"
"USW00024175","SALT LAKE CITY, UT US","1940-06-06","0.00","0.0",,"74","47"
"USW00024175","SALT LAKE CITY, UT US","1940-06-07","0.00","0.0",,"86","52"
"USW00024175","SALT LAKE CITY, UT US","1940-06-08","0.00","0.0",,"66","45"
"USW00024175","SALT LAKE CITY, UT US","1940-06-09","0.00","0.0",,"71","46"
"USW00024175","SALT LAKE CITY, UT US","1940-06-10","0.00","0.0",,"80","56"
"USW00024175","SALT LAKE CITY, UT US","1940-06-11","0.00","0.0",,"86","54"
"USW00024175","SALT LAKE CITY, UT US","1940-06-12","0.00","0.0",,"94","60"
"USW00024175","SALT LAKE CITY, UT US","1940-06-13","0.00","0.0",,"96","66"
"USW00024175","SALT LAKE CITY, UT US","1940-06-14","0.00","0.0",,"94","64"
"USW00024175","SALT LAKE CITY, UT US","1940-06-15","0.00","0.0",,"94","62"
"USW00024175","SALT LAKE CITY, UT US","1940-06-16","0.00","0.0",,"99","66"
"USW00024175","SALT LAKE CITY, UT US","1940-06-17","0.00","0.0",,"102","67"
"USW00024175","SALT LAKE CITY, UT US","1940-06-18","0.00","0.0",,"103","71"
"USW00024175","SALT LAKE CITY, UT US","1940-06-19","0.00","0.0",,"101","72"
"USW00024175","SALT LAKE CITY, UT US","1940-06-20","0.00","0.0",,"97","74"
"USW00024175","SALT LAKE CITY, UT US","1940-06-21","0.00","0.0",,"96","63"
"USW00024175","SALT LAKE CITY, UT US","1940-06-22","0.00","0.0",,"92","68"
"USW00024175","SALT LAKE CITY, UT US","1940-06-23","0.00","0.0",,"82","59"
"USW00024175","SALT LAKE CITY, UT US","1940-06-24","0.00","0.0",,"92","59"
"USW00024175","SALT LAKE CITY, UT US","1940-06-25","0.00","0.0",,"98","64"
"USW00024175","SALT LAKE CITY, UT US","1940-06-26","0.00","0.0",,"92","67"
"USW00024175","SALT LAKE CITY, UT US","1940-06-27","0.00","0.0",,"89","63"
"USW00024175","SALT LAKE CITY, UT US","1940-06-28","0.00","0.0",,"91","58"
"USW00024175","SALT LAKE CITY, UT US","1940-06-29","0.00","0.0",,"97","61"
"USW00024175","SALT LAKE CITY, UT US","1940-06-30","0.11","0.0",,"80","63"
"USW00024175","SALT LAKE CITY, UT US","1940-07-01","0.08","0.0",,"81","61"
"USW00024175","SALT LAKE CITY, UT US","1940-07-02","0.00","0.0",,"85","60"
"USW00024175","SALT LAKE CITY, UT US","1940-07-03","0.00","0.0",,"92","62"
"USW00024175","SALT LAKE CITY, UT US","1940-07-04","0.00","0.0",,"97","66"
"USW00024175","SALT LAKE CITY, UT US","1940-07-05","0.00","0.0",,"97","72"
"USW00024175","SALT LAKE CITY, UT US","1940-07-06","0.00","0.0",,"94","68"
"USW00024175","SALT LAKE CITY, UT US","1940-07-07","0.00","0.0",,"102","66"
"USW00024175","SALT LAKE CITY, UT US","1940-07-08","0.00","0.0",,"100","70"
"USW00024175","SALT LAKE CITY, UT US","1940-07-09","0.00","0.0",,"99","72"
"USW00024175","SALT LAKE CITY, UT US","1940-07-10","0.00","0.0",,"99","68"
"USW00024175","SALT LAKE CITY, UT US","1940-07-11","0.00","0.0",,"97","71"
"USW00024175","SALT LAKE CITY, UT US","1940-07-12","0.00","0.0",,"99","71"
"USW00024175","SALT LAKE CITY, UT US","1940-07-13","0.00","0.0",,"97","71"
"USW00024175","SALT LAKE CITY, UT US","1940-07-14","0.00","0.0",,"96","69"
"USW00024175","SALT LAKE CITY, UT US","1940-07-15","0.00","0.0",,"95","73"
"USW00024175","SALT LAKE CITY, UT US","1940-07-16","0.01","0.0",,"82","66"
"USW00024175","SALT LAKE CITY, UT US","1940-07-17","0.00","0.0",,"88","68"
"USW00024175","SALT LAKE CITY, UT US","1940-07-18","0.00","0.0",,"89","69"
"USW00024175","SALT LAKE CITY, UT US","1940-07-19","0.00","0.0",,"89","63"
"USW00024175","SALT LAKE CITY, UT US","1940-07-20","0.00","0.0",,"93","66"
"USW00024175","SALT LAKE CITY, UT US","1940-07-21","0.00","0.0",,"95","63"
"USW00024175","SALT LAKE CITY, UT US","1940-07-22","0.00","0.0",,"99","68"
"USW00024175","SALT LAKE CITY, UT US","1940-07-23","0.00","0.0",,"100","72"
"USW00024175","SALT LAKE CITY, UT US","1940-07-24","0.00","0.0",,"99","71"
"USW00024175","SALT LAKE CITY, UT US","1940-07-25","0.00","0.0",,"92","66"
"USW00024175","SALT LAKE CITY, UT US","1940-07-26","0.00","0.0",,"95","65"
"USW00024175","SALT LAKE CITY, UT US","1940-07-27","0.00","0.0",,"89","64"
"USW00024175","SALT LAKE CITY, UT US","1940-07-28","0.00","0.0",,"92","68"
"USW00024175","SALT LAKE CITY, UT US","1940-07-29","0.00","0.0",,"95","76"
"USW00024175","SALT LAKE CITY, UT US","1940-07-30","0.00","0.0",,"95","69"
"USW00024175","SALT LAKE CITY, UT US","1940-07-31","0.00","0.0",,"99","70"
"USW00024175","SALT LAKE CITY, UT US","1940-08-01","0.00","0.0",,"97","70"
"USW00024175","SALT LAKE CITY, UT US","1940-08-02","0.00","0.0",,"92","68"
"USW00024175","SALT LAKE CITY, UT US","1940-08-03","0.00","0.0",,"98","61"
"USW00024175","SALT LAKE CITY, UT US","1940-08-04","0.00","0.0",,"94","66"
"USW00024175","SALT LAKE CITY, UT US","1940-08-05","0.00","0.0",,"94","64"
"USW00024175","SALT LAKE CITY, UT US","1940-08-06","0.00","0.0",,"97","67"
"USW00024175","SALT LAKE CITY, UT US","1940-08-07","0.00","0.0",,"95","69"
"USW00024175","SALT LAKE CITY, UT US","1940-08-08","0.00","0.0",,"98","66"
"USW00024175","SALT LAKE CITY, UT US","1940-08-09","0.00","0.0",,"102","71"
"USW00024175","SALT LAKE CITY, UT US","1940-08-10","0.00","0.0",,"97","71"
"USW00024175","SALT LAKE CITY, UT US","1940-08-11","0.00","0.0",,"99","66"
"USW00024175","SALT LAKE CITY, UT US","1940-08-12","0.00","0.0",,"102","69"
"USW00024175","SALT LAKE CITY, UT US","1940-08-13","0.00","0.0",,"101","67"
"USW00024175","SALT LAKE CITY, UT US","1940-08-14","0.00","0.0",,"99","69"
"USW00024175","SALT LAKE CITY, UT US","1940-08-15","0.00","0.0",,"92","69"
"USW00024175","SALT LAKE CITY, UT US","1940-08-16","0.00","0.0",,"95","63"
"USW00024175","SALT LAKE CITY, UT US","1940-08-17","0.00","0.0",,"98","67"
"USW00024175","SALT LAKE CITY, UT US","1940-08-18","0.00","0.0",,"98","72"
"USW00024175","SALT LAKE CITY, UT US","1940-08-19","0.00","0.0",,"96","72"
"USW00024175","SALT LAKE CITY, UT US","1940-08-20","0.00","0.0",,"98","67"
"USW00024175","SALT LAKE CITY, UT US","1940-08-21","0.00","0.0",,"97","76"
"USW00024175","SALT LAKE CITY, UT US","1940-08-22","0.00","0.0",,"96","69"
"USW00024175","SALT LAKE CITY, UT US","1940-08-23","0.00","0.0",,"81","67"
"USW00024175","SALT LAKE CITY, UT US","1940-08-24","0.02","0.0",,"85","64"
"USW00024175","SALT LAKE CITY, UT US","1940-08-25","0.00","0.0",,"82","62"
"USW00024175","SALT LAKE CITY, UT US","1940-08-26","0.00","0.0",,"81","57"
"USW00024175","SALT LAKE CITY, UT US","1940-08-27","0.00","0.0",,"91","57"
"USW00024175","SALT LAKE CITY, UT US","1940-08-28","0.00","0.0",,"85","62"
"USW00024175","SALT LAKE CITY, UT US","1940-08-29","0.00","0.0",,"88","56"
"USW00024175","SALT LAKE CITY, UT US","1940-08-30","0.00","0.0",,"92","58"
"USW00024175","SALT LAKE CITY, UT US","1940-08-31","0.00","0.0",,"97","63"
"USW00024175","SALT LAKE CITY, UT US","1940-09-01","0.00","0.0",,"93","67"
"USW00024175","SALT LAKE CITY, UT US","1940-09-02","0.02","0.0",,"80","65"
"USW00024175","SALT LAKE CITY, UT US","1940-09-03","0.03","0.0",,"78","63"
"USW00024175","SALT LAKE CITY, UT US","1940-09-04","0.27","0.0",,"77","55"
"USW00024175","SALT LAKE CITY, UT US","1940-09-05","0.00","0.0",,"83","50"
"USW00024175","SALT LAKE CITY, UT US","1940-09-06","0.01","0.0",,"82","57"
"USW00024175","SALT LAKE CITY, UT US","1940-09-07","0.00","0.0",,"84","64"
"USW00024175","SALT LAKE CITY, UT US","1940-09-08","0.00","0.0",,"79","61"
"USW00024175","SALT LAKE CITY, UT US","1940-09-09","0.00","0.0",,"84","60"
"USW00024175","SALT LAKE CITY, UT US","1940-09-10","0.00","0.0",,"88","65"
"USW00024175","SALT LAKE CITY, UT US","1940-09-11","0.00","0.0",,"91","66"
"USW00024175","SALT LAKE CITY, UT US","1940-09-12","0.09","0.0",,"83","61"
"USW00024175","SALT LAKE CITY, UT US","1940-09-13","0.14","0.0",,"79","60"
"USW00024175","SALT LAKE CITY, UT US","1940-09-14","0.01","0.0",,"79","55"
"USW00024175","SALT LAKE CITY, UT US","1940-09-15","0.00","0.0",,"79","58"
"USW00024175","SALT LAKE CITY, UT US","1940-09-16","0.00","0.0",,"77","59"
"USW00024175","SALT LAKE CITY, UT US","1940-09-17","0.00","0.0",,"71","57"
"USW00024175","SALT LAKE CITY, UT US","1940-09-18","0.00","0.0",,"74","56"
"USW00024175","SALT LAKE CITY, UT US","1940-09-19","0.14","0.0",,"64","50"
"USW00024175","SALT LAKE CITY, UT US","1940-09-20","0.00","0.0",,"69","47"
"USW00024175","SALT LAKE CITY, UT US","1940-09-21","0.00","0.0",,"76","50"
"USW00024175","SALT LAKE CITY, UT US","1940-09-22","0.00","0.0",,"82","54"
"USW00024175","SALT LAKE CITY, UT US","1940-09-23","0.00","0.0",,"79","54"
"USW00024175","SALT LAKE CITY, UT US","1940-09-24","0.00","0.0",,"83","54"
"USW00024175","SALT LAKE CITY, UT US","1940-09-25","0.17","0.0",,"78","54"
"USW00024175","SALT LAKE CITY, UT US","1940-09-26","0.00","0.0",,"82","54"
"USW00024175","SALT LAKE CITY, UT US","1940-09-27","0.60","0.0",,"82","41"
"USW00024175","SALT LAKE CITY, UT US","1940-09-28","0.14","0.0",,"57","43"
"USW00024175","SALT LAKE CITY, UT US","1940-09-29","0.00","0.0",,"61","48"
"USW00024175","SALT LAKE CITY, UT US","1940-09-30","0.10","0.0",,"61","46"
"USW00024175","SALT LAKE CITY, UT US","1940-10-01","0.00","0.0",,"67","49"
"USW00024175","SALT LAKE CITY, UT US","1940-10-02","0.00","0.0",,"75","51"
"USW00024175","SALT LAKE CITY, UT US","1940-10-03","0.46","0.0",,"56","40"
"USW00024175","SALT LAKE CITY, UT US","1940-10-04","0.00","0.0",,"64","38"
"USW00024175","SALT LAKE CITY, UT US","1940-10-05","0.00","0.0",,"65","46"
"USW00024175","SALT LAKE CITY, UT US","1940-10-06","0.00","0.0",,"67","42"
"USW00024175","SALT LAKE CITY, UT US","1940-10-07","0.00","0.0",,"75","46"
"USW00024175","SALT LAKE CITY, UT US","1940-10-08","0.08","0.0",,"70","51"
"USW00024175","SALT LAKE CITY, UT US","1940-10-09","0.47","0.0",,"62","50"
"USW00024175","SALT LAKE CITY, UT US","1940-10-10","0.00","0.0",,"67","42"
"USW00024175","SALT LAKE CITY, UT US","1940-10-11","0.00","0.0",,"70","44"
"USW00024175","SALT LAKE CITY, UT US","1940-10-12","0.00","0.0",,"76","46"
"USW00024175","SALT LAKE CITY, UT US","1940-10-13","0.00","0.0",,"75","47"
"USW00024175","SALT LAKE CITY, UT US","1940-10-14","0.00","0.0",,"71","43"
"USW00024175","SALT LAKE CITY, UT US","1940-10-15","0.00","0.0",,"76","45"
"USW00024175","SALT LAKE CITY, UT US","1940-10-16","0.00","0.0",,"76","47"
"USW00024175","SALT LAKE CITY, UT US","1940-10-17","0.00","0.0",,"82","49"
"USW00024175","SALT LAKE CITY, UT US","1940-10-18","0.00","0.0",,"77","47"
"USW00024175","SALT LAKE CITY, UT US","1940-10-19","0.00","0.0",,"75","48"
"USW00024175","SALT LAKE CITY, UT US","1940-10-20","0.00","0.0",,"75","48"
"USW00024175","SALT LAKE CITY, UT US","1940-10-21","0.00","0.0",,"75","49"
"USW00024175","SALT LAKE CITY, UT US","1940-10-22","0.00","0.0",,"76","49"
"USW00024175","SALT LAKE CITY, UT US","1940-10-23","0.00","0.0",,"76","56"
"USW00024175","SALT LAKE CITY, UT US","1940-10-24","0.00","0.0",,"72","56"
"USW00024175","SALT LAKE CITY, UT US","1940-10-25","0.00","0.0",,"74","58"
"USW00024175","SALT LAKE CITY, UT US","1940-10-26","0.71","0.0",,"59","44"
"USW00024175","SALT LAKE CITY, UT US","1940-10-27","0.08","0.0",,"55","42"
"USW00024175","SALT LAKE CITY, UT US","1940-10-28","0.03","0.0",,"53","39"
"USW00024175","SALT LAKE CITY, UT US","1940-10-29","0.01","0.0",,"53","37"
"USW00024175","SALT LAKE CITY, UT US","1940-10-30","0.27","0.0",,"53","40"
"USW00024175","SALT LAKE CITY, UT US","1940-10-31","0.00","0.0",,"59","39"
"USW00024175","SALT LAKE CITY, UT US","1940-11-01","0.00","0.0",,"65","41"
"USW00024175","SALT LAKE CITY, UT US","1940-11-02","0.00","0.0",,"62","45"
"USW00024175","SALT LAKE CITY, UT US","1940-11-03","0.77","0.0",,"45","32"
"USW00024175","SALT LAKE CITY, UT US","1940-11-04","0.43","6.0",,"44","30"
"USW00024175","SALT LAKE CITY, UT US","1940-11-05","0.00","0.0",,"47","27"
"USW00024175","SALT LAKE CITY, UT US","1940-11-06","0.00","0.0",,"54","36"
"USW00024175","SALT LAKE CITY, UT US","1940-11-07","0.00","0.0",,"57","41"
"USW00024175","SALT LAKE CITY, UT US","1940-11-08","0.00","0.0",,"58","44"
"USW00024175","SALT LAKE CITY, UT US","1940-11-09","0.01","0.0",,"48","34"
"USW00024175","SALT LAKE CITY, UT US","1940-11-10","0.04","0.6",,"36","27"
